회원번호,region_tier,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
393538816,Tier1_새벽배송가능권(가정),0.0,0.6226832632120421,0.6761888200709214,0.053505556858879255,0.5963483930539982,0.6122748208348882,0.01592642778088993
393733696,Tier3_배송취약권(가정),0.0,0.6641040683101299,0.668199694817153,0.004095626507023109,0.7387951453981956,0.7391591274321019,0.0003639820339063071
393848768,Tier3_배송취약권(가정),1.0,0.9093569353914632,0.9259576168514232,0.016600681459959965,0.8923394887901375,0.9394974862707923,0.047157997480654856
393869184,Tier1_새벽배송가능권(가정),1.0,0.06526314856896695,0.0553528787696211,-0.009910269799345853,0.1004573724708378,0.13525835592835084,0.034800983457513035
393980544,Tier3_배송취약권(가정),0.0,0.18206070437722346,0.13956534252442138,-0.04249536185280209,0.159584378487353,0.17557692647161563,0.01599254798426264
393986112,Tier1_새벽배송가능권(가정),0.0,0.8768051298985575,0.9002336050217902,0.02342847512323265,0.8510071537293061,0.8738078912697237,0.02280073754041756
394155008,Tier2_익일배송표준권(가정),0.0,0.7928935740004819,0.8544967714319236,0.061603197431441714,0.7691935235113043,0.802628403909088,0.03343488039778364
394912256,Tier1_새벽배송가능권(가정),1.0,0.6677564923882391,0.6754962397743756,0.007739747386136475,0.6861753756621394,0.693736619756598,0.007561244094458575
394984640,Tier3_배송취약권(가정),1.0,0.8310414531973119,0.8379128391877244,0.006871385990412482,0.8297355260053546,0.8919685925386276,0.062233066533272985
395010624,Tier2_익일배송표준권(가정),,0.060036427372230174,0.04785098802483089,-0.012185439347399282,0.09034369201928076,0.11676233579412541,0.026418643774844652
395094144,Tier3_배송취약권(가정),0.0,0.8736559566035302,0.8903872105383653,0.0167312539348351,0.871659306085818,0.8957352229966673,0.024075916910849315
395255616,Tier3_배송취약권(가정),,0.8460871931461509,0.8463079715056128,0.00022077835946188173,0.8203765885468934,0.8714074116889152,0.051030823142021786
395337280,Tier3_배송취약권(가정),0.0,0.06209687934948236,0.042721645311083294,-0.019375234038399067,0.08635404809349984,0.09709028135303725,0.010736233259537417
395444928,Tier3_배송취약권(가정),,0.1077204639568402,0.08138071624947309,-0.02633974770736712,0.1208261199662188,0.12944507329155724,0.00861895332533845
395489472,Tier3_배송취약권(가정),0.0,0.5003385139865594,0.4869600818223617,-0.013378432164197651,0.42267773035514017,0.4113097527550446,-0.011367977600095558
395535872,Tier2_익일배송표준권(가정),1.0,0.05504307604056566,0.061698971523245744,0.006655895482680085,0.09289748051395832,0.14798833277184265,0.05509085225788432
395548864,Tier1_새벽배송가능권(가정),0.0,0.19595940717033025,0.18992682876466735,-0.006032578405662903,0.2585791244414958,0.2566609753872261,-0.00191814905426968
395619392,Tier1_새벽배송가능권(가정),0.0,0.49652654978266775,0.5210992088640918,0.02457265908142403,0.41676635726836375,0.496045206065235,0.07927884879687125
395699200,Tier3_배송취약권(가정),0.0,0.048078578087639844,0.030545390780864008,-0.017533187306775836,0.06504750368150941,0.06123245411169129,-0.003815049569818124
395849536,Tier3_배송취약권(가정),0.0,0.03991038512588816,0.031225562818993472,-0.008684822306894689,0.07309253587502189,0.07552672924485622,0.002434193369834331
395884800,Tier3_배송취약권(가정),0.0,0.07522021677255548,0.05542662150865359,-0.019793595263901897,0.09002907513267175,0.08446142831441113,-0.0055676468182606215
395977600,Tier2_익일배송표준권(가정),,0.3976278752513658,0.3717957824477675,-0.025832092803598272,0.39842416754261234,0.36554534835314034,-0.032878819189472
396194752,Tier3_배송취약권(가정),0.0,0.691290047653943,0.733617871547842,0.042327823893899,0.5772585419436681,0.7337931815775646,0.15653463963389647
396348800,Tier3_배송취약권(가정),0.0,0.5450796895195688,0.44960720282436056,-0.09547248669520819,0.4478908658562088,0.4760095056981981,0.028118639841989312
396473152,Tier1_새벽배송가능권(가정),,0.5467252119400946,0.5122133200745945,-0.03451189186550008,0.5620628866406483,0.532961191067234,-0.029101695573414244
396588224,Tier2_익일배송표준권(가정),,0.1501647225556015,0.17402932109609853,0.023864598540497023,0.18079506505566673,0.20629134504493446,0.025496279989267734
396788672,Tier2_익일배송표준권(가정),0.0,0.9706732436883412,0.9813595942353351,0.010686350546993961,0.9051988061195816,0.936550187077604,0.03135138095802237
396870336,Tier2_익일배송표준권(가정),0.0,0.14152579424322118,0.16024543651875706,0.01871964227553588,0.19070203409488853,0.2480804403083877,0.057378406213499156
396976128,Tier1_새벽배송가능권(가정),,0.04497315894563484,0.04018888425014427,-0.004784274695490573,0.07676397598497578,0.09589082746530998,0.019126851480334203
396996544,Tier3_배송취약권(가정),,0.1170168916348183,0.08124850304108598,-0.035768388593732325,0.17554340245956104,0.169732180857706,-0.005811221601855043
397061504,Tier1_새벽배송가능권(가정),1.0,0.4211874314057639,0.49401199230080345,0.07282456089503953,0.3045270761789583,0.3290095698042844,0.02448249362532612
397096768,Tier1_새벽배송가능권(가정),0.0,0.07350149608658534,0.052240181019605626,-0.02126131506697971,0.09933367505152678,0.08032286016777261,-0.019010814883754168
397304640,Tier2_익일배송표준권(가정),0.0,0.03920257317600837,0.03800010062350648,-0.0012024725525018945,0.05714713948836986,0.09249587497664553,0.035348735488275676
397404864,Tier3_배송취약권(가정),,0.6249194837646767,0.6038901854589495,-0.021029298305727195,0.48637109120830174,0.6218145407405636,0.1354434495322619
397441984,Tier1_새벽배송가능권(가정),0.0,0.6837185395922326,0.7070945841496367,0.023376044557404052,0.7619076784863872,0.7349038403633676,-0.02700383812301954
397486528,Tier1_새벽배송가능권(가정),0.0,0.13109093545798756,0.11073128945767689,-0.020359646000310663,0.15409671689985843,0.16152824903751553,0.007431532137657099
397544064,Tier2_익일배송표준권(가정),0.0,0.1164060086330967,0.11224641551864876,-0.00415959311444794,0.12781931206313613,0.15295002769260657,0.025130715629470446
397553344,Tier2_익일배송표준권(가정),0.0,0.9796664619991458,0.986138300938393,0.006471838939247299,0.9490020260118343,0.930417943612145,-0.018584082399689228
397616448,Tier3_배송취약권(가정),1.0,0.9807732911495243,0.9845068457156823,0.0037335545661579816,0.9517430066921472,0.9320407964823673,-0.019702210209779913
