회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
464579072,13,643433,Q4_고가,Tier3_배송취약권(가정),60+_F,0.0,0,0.7476555877246828,0.7907624183989092
749519616,22,542547,Q2,Tier3_배송취약권(가정),30s_M,0.0,0,0.7163354364205994,0.7906041630628128
541805376,9,496504,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7154168848838369,0.7905638612110871
1472104960,10,555181,Q4_고가,Tier3_배송취약권(가정),30s_F,1.0,0,0.7180719039496354,0.7901591693624636
1068063040,14,491636,Q3,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.7861018309013762,0.7895584475174567
593777088,25,716859,Q2,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.7580188205192702,0.7894981166858264
554216448,18,509617,Q2,Tier3_배송취약권(가정),60+_F,0.0,0,0.8458120333864884,0.7893960225365668
326904704,20,694356,Q3,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.8473400008840184,0.7893947949877971
847332672,23,631372,Q2,Tier1_새벽배송가능권(가정),60+_F,,0,0.8780627664018175,0.7892959518732234
1612813888,7,335635,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,1,0.7301765058590068,0.7891778191246145
455219264,16,536516,Q3,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.765740459365961,0.7878884380449588
1145660544,13,544173,Q3,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.7281940233252261,0.7874689544035506
868435392,18,739107,Q3,Tier3_배송취약권(가정),30s_F,0.0,0,0.7695722748461594,0.7866446853310584
240220224,17,516318,Q3,Tier3_배송취약권(가정),50s_F,,0,0.7548117391305406,0.7863750489248835
540773440,11,517370,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.6836794744497872,0.7861978862218626
360383232,25,618642,Q2,Tier3_배송취약권(가정),40s_F,1.0,0,0.7621827359252841,0.7861916889226651
372890816,10,668629,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.7595824317277824,0.7857756068877797
1179927872,9,304390,Q3,Tier3_배송취약권(가정),30s_F,0.0,1,0.8670798174544503,0.7856563430715362
