회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
57105408,40s_F,0.0,0.08120461001724166,0.1378596293045162,0.05665501928727454
57209344,40s_F,0.0,0.10193930892896881,0.17116203727002524,0.06922272834105643
57250176,50s_F,0.0,0.2592239911085435,0.25579572918865146,-0.0034282619198920394
57272448,50s_F,0.0,0.6426378003651639,0.7692825464692471,0.12664474610408316
57331840,60+_F,1.0,0.875010948802222,0.8836868700269146,0.008675921224692629
57359680,40s_F,0.0,0.24850543508056447,0.24023926505926896,-0.00826617002129551
57424640,60+_F,0.0,0.18748250843383174,0.18578078547467503,-0.0017017229591567151
57471040,50s_F,0.0,0.24478634917265338,0.29946821893598313,0.054681869763329755
57727168,40s_F,,0.1426867582453285,0.2129243981263733,0.07023763988104478
57797696,30s_F,0.0,0.07799815780474635,0.08056925296104357,0.0025710951562972206
58037120,50s_F,0.0,0.5098705989740203,0.6235680115054218,0.11369741253140153
58068672,40s_F,,0.44709705461827953,0.48319404187307385,0.03609698725479432
58074240,40s_F,1.0,0.8405166403593743,0.8771279305562,0.03661129019682563
58122496,40s_F,0.0,0.14201833468323108,0.1824512390395679,0.04043290435633681
58480704,60+_F,0.0,0.2711174586285517,0.2565811403836549,-0.014536318244896762
58484416,50s_F,0.0,0.8418332881639912,0.8828072823438048,0.04097399417981362
58491840,40s_F,0.0,0.2815845812732253,0.2706351957836742,-0.0109493854895511
58545664,40s_F,1.0,0.1456644600428362,0.17650603071564536,0.030841570672809154
58560512,50s_F,0.0,0.7997378927026605,0.8821628180689863,0.08242492536632584
58805504,30s_F,1.0,0.12228405180298513,0.1457278779371799,0.023443826134194767
59011520,40s_F,0.0,0.8795698882985882,0.8975034704433215,0.017933582144733284
59046784,40s_F,,0.18721877385801564,0.16087360407383192,-0.02634516978418372
59083904,60+_F,,0.09574724765367224,0.14610348714707722,0.05035623949340498
59516352,40s_F,,0.5756909173834124,0.6279436610454247,0.05225274366201227
59709376,60+_F,0.0,0.10416111231873845,0.10508807993815791,0.0009269676194194609
59727936,30s_F,0.0,0.227398493154849,0.24477655323678113,0.01737806008193213
59755776,50s_F,1.0,0.5536920597569569,0.5235623668072914,-0.0301296929496655
59759488,60+_F,,0.8817582266870683,0.8897505812841295,0.007992354597061269
59774336,60+_M,0.0,0.9491117386475726,0.9127681534466322,-0.03634358520094039
60210496,40s_F,0.0,0.07433584369276024,0.10092760664840546,0.02659176295564522
60275456,40s_F,0.0,0.08551666538113763,0.10742878868706672,0.021912123305929093
60277312,30s_F,0.0,0.6278630897211772,0.6347074415500432,0.006844351828866002
60312576,40s_F,0.0,0.8811035027889522,0.9053394082956778,0.024235905506725608
60314432,40s_F,0.0,0.9026639163679527,0.9195865394059409,0.016922623037988194
60654080,50s_F,0.0,0.759910594557109,0.7380650602625852,-0.02184553429452374
60802560,50s_F,0.0,0.08401532495477854,0.12923697831986622,0.04522165336508768
60895360,40s_F,1.0,0.13009286756977193,0.18880185359815382,0.0587089860283819
60912064,40s_F,0.0,0.7600849891793551,0.7666167543485405,0.006531765169185411
60926912,30s_F,0.0,0.1743448200450656,0.1541172055937413,-0.02022761445132429
60956608,30s_F,0.0,0.08785328172702478,0.07675665060902567,-0.011096631117999106
61197888,50s_F,0.0,0.6419593587517322,0.7813130836475415,0.13935372489580933
61201600,30s_F,0.0,0.12215330830675004,0.12396702365446982,0.001813715347719777
