antecedents,consequents,support,confidence,lift
어묵/묵,잎/줄기채소,0.014963640784209711,0.24514182257091127,1.1422587262084938
두부/유부,버섯,0.025970868421634288,0.09916727620548023,1.1410541905810128
버섯,두부/유부,0.025970868421634288,0.29883011190233977,1.1410541905810125
양념채소,"두부/유부, 알",0.01082303708124277,0.07420316209526695,1.1350750578190565
과자,가루,0.010881978059220948,0.07487200283874892,1.1349455074045738
가루,과자,0.010881978059220948,0.16495421040875588,1.1349455074045738
두부/유부,"알, 잎/줄기채소",0.014307922404202492,0.054633432735047546,1.131940343717794
육가공,유제품,0.01519940469612242,0.14356297842727905,1.1283606172306537
유제품,육가공,0.01519940469612242,0.11946262088134807,1.1283606172306535
가루,양념채소,0.010800934214500953,0.1637257091802546,1.1225098136751417
양념채소,가루,0.010800934214500953,0.07405162398343183,1.1225098136751417
유제품,떡,0.012215517685977204,0.09601019167293995,1.1199181252643922
떡,유제품,0.012215517685977204,0.142488827775868,1.1199181252643922
닭/오리,잎/줄기채소,0.012038694752042674,0.2395543175487465,1.1162232814917716
잎/줄기채소,닭/오리,0.012038694752042674,0.056095300216279315,1.1162232814917716
돼지,잎/줄기채소,0.015088890362413338,0.2395041515612209,1.1159895288974202
잎/줄기채소,돼지,0.015088890362413338,0.07030794054035497,1.1159895288974202
알,"양념채소, 잎/줄기채소",0.010793566592253683,0.046394527662539195,1.1159104811463376
빵,밑반찬,0.01057990554708279,0.09138929548781263,1.1141810551751838
밑반찬,빵,0.01057990554708279,0.12898589778137068,1.1141810551751836
열매채소,돼지,0.01009364247876283,0.06921988682295878,1.0987189824106387
돼지,열매채소,0.01009364247876283,0.1602151795111683,1.0987189824106387
버섯,유제품,0.012127106219009939,0.13953882672092235,1.096732029185481
유제품,버섯,0.012127106219009939,0.09531530488157972,1.096732029185481
음료,냉동수산,0.010506229324610069,0.07548568101212218,1.0901889761751788
냉동수산,음료,0.010506229324610069,0.15173441157693124,1.0901889761751786
두부/유부,"양념채소, 잎/줄기채소",0.011869239440355414,0.04532155516795139,1.090102669039673
알,"두부/유부, 잎/줄기채소",0.014307922404202492,0.061500459194983696,1.0794511607495076
열매채소,유제품,0.019936785801118406,0.13672190784155216,1.0745919178543073
유제품,열매채소,0.019936785801118406,0.15669697145173433,1.0745919178543073
알,두부/유부,0.06537291220004568,0.28099566139911963,1.0729550477139793
두부/유부,알,0.06537291220004568,0.24962021043155347,1.0729550477139793
두부/유부,돼지,0.017697028637947674,0.0675744106228549,1.0726005355431496
돼지,두부/유부,0.017697028637947674,0.28090281838381476,1.0726005355431496
해조,잎/줄기채소,0.015449903852529673,0.2299594253755894,1.071515082797328
잎/줄기채소,해조,0.015449903852529673,0.07199011294586151,1.071515082797328
냉동수산,잎/줄기채소,0.015899328809613273,0.22962332411151307,1.0699489909825795
잎/줄기채소,냉동수산,0.015899328809613273,0.0740842459404717,1.0699489909825795
과자,과일,0.015258345674100598,0.10498301819840827,1.0633761251531162
과일,과자,0.015258345674100598,0.15455223880597016,1.0633761251531162
버섯,밀가공,0.011139844837875473,0.12817904374364192,1.0602482435420058
밀가공,버섯,0.011139844837875473,0.09214455481747821,1.0602482435420058
양념채소,알,0.035917158455451674,0.24624943173208064,1.058466260872267
알,양념채소,0.035917158455451674,0.15438452037875672,1.058466260872267
과일채소,밀가공,0.01019678919022464,0.12774598486247002,1.0566661453713324
밀가공,과일채소,0.01019678919022464,0.08434395758425255,1.0566661453713322
열매채소,밀가공,0.018581143307620333,0.12742522231204528,1.0540129196899015
밀가공,열매채소,0.018581143307620333,0.1536961423608995,1.0540129196899015
